CÓDIGO;DESCRIPCIÓN;PROVINCIA;TIPO;;Variable;Valor;Definición
10701;SANTA CRUZ;GALAPAGOS;CANTON;;TIPO_COMBUSTIBLE;DIESEL;Combustible líquido derivado del petróleo, usado en motores de compresión.
20115;ISABELA;GALAPAGOS;CANTON;;TIPO_COMBUSTIBLE;GASOLINA;Combustible derivado del petróleo para motores de chispa.
10911;SAN CRISTOBAL;GALAPAGOS;CANTON;;TIPO_COMBUSTIBLE;ELECTRICO;Vehículo impulsado exclusivamente por energía eléctrica.
10901;LORETO;ORELLANA;CANTON;;TIPO_COMBUSTIBLE;GAS_LICUADO_PETROLEO;Gas licuado de petróleo (propano-butano), alternativa más limpia.
20606;LA JOYA DE LOS SACHAS;ORELLANA;CANTON;;TIPO_COMBUSTIBLE;HIBRIDO_GASOLINA_BATERIAS;Combina motor de gasolina y motor eléctrico para mayor eficiencia.
21801;AGUARICO;ORELLANA;CANTON;;TIPO_COMBUSTIBLE;HIBRIDO_DIESEL_BATERIAS;Combina motor diésel y motor eléctrico para mayor eficiencia.
21101;FRANCISCO DE ORELLANA;ORELLANA;CANTON;;TIPO_COMBUSTIBLE;DUAL_GAS_GASOLINA;Sistema que permite el uso alternativo de gas y gasolina.
31905;CUYABENO;SUCUMBIOS;CANTON;;;;
21701;CASCALES;SUCUMBIOS;CANTON;;;;
20501;SUCUMBIOS;SUCUMBIOS;CANTON;;;;
20505;SHUSHUFINDI;SUCUMBIOS;CANTON;;;;
11201;PUTUMAYO;SUCUMBIOS;CANTON;;;;
20304;GONZALO PIZARRO;SUCUMBIOS;CANTON;;;;
10709;LAGO AGRIO;SUCUMBIOS;CANTON;;;;
22301;PAQUISHA;ZAMORA CHINCHIPE;CANTON;;;;
12402;PALANDA;ZAMORA CHINCHIPE;CANTON;;;;
10927;CENTINELA DEL CONDOR;ZAMORA CHINCHIPE;CANTON;;;;
21709;EL PANGUI;ZAMORA CHINCHIPE;CANTON;;;;
10910;YANTZAZA (YANZATZA);ZAMORA CHINCHIPE;CANTON;;;;
20601;YACUAMBI;ZAMORA CHINCHIPE;CANTON;;;;
21707;NANGARITZA;ZAMORA CHINCHIPE;CANTON;;;;
22302;CHINCHIPE;ZAMORA CHINCHIPE;CANTON;;;;
10904;ZAMORA;ZAMORA CHINCHIPE;CANTON;;;;
10801;ARAJUNO;PASTAZA;CANTON;;;;
10708;SANTA CLARA;PASTAZA;CANTON;;;;
11205;MERA;PASTAZA;CANTON;;;;
10707;PASTAZA;PASTAZA;CANTON;;;;
20502;CARLOS JULIO AROSEMENA TOLA;NAPO;CANTON;;;;
20101;QUIJOS;NAPO;CANTON;;;;
11308;EL CHACO;NAPO;CANTON;;;;
21001;ARCHIDONA;NAPO;CANTON;;;;
11321;TENA;NAPO;CANTON;;;;
20401;TIWINTZA;MORONA SANTIAGO;CANTON;;;;
11210;PABLO SEXTO;MORONA SANTIAGO;CANTON;;;;
11208;LOGROÑO;MORONA SANTIAGO;CANTON;;;;
31901;TAISHA;MORONA SANTIAGO;CANTON;;;;
11311;SAN JUAN BOSCO;MORONA SANTIAGO;CANTON;;;;
10920;HUAMBOYA;MORONA SANTIAGO;CANTON;;;;
11301;SUCUA;MORONA SANTIAGO;CANTON;;;;
31507;SANTIAGO;MORONA SANTIAGO;CANTON;;;;
21111;PALORA;MORONA SANTIAGO;CANTON;;;;
11207;LIMON - INDANZA;MORONA SANTIAGO;CANTON;;;;
21708;GUALAQUIZA;MORONA SANTIAGO;CANTON;;;;
10804;MORONA;MORONA SANTIAGO;CANTON;;;;
10805;SANTO DOMINGO;SANTO DOMINGO DE LOS TSÁCHILAS;CANTON;;;;
32104;TISALEO;TUNGURAHUA;CANTON;;;;
21702;SANTIAGO DE PILLARO;TUNGURAHUA;CANTON;;;;
11309;SAN PEDRO DE PELILEO;TUNGURAHUA;CANTON;;;;
11306;QUERO;TUNGURAHUA;CANTON;;;;
11319;PATATE;TUNGURAHUA;CANTON;;;;
21705;MOCHA;TUNGURAHUA;CANTON;;;;
11304;CEVALLOS;TUNGURAHUA;CANTON;;;;
10925;BAÑOS DE AGUA SANTA;TUNGURAHUA;CANTON;;;;
11204;AMBATO;TUNGURAHUA;CANTON;;;;
10712;PUERTO QUITO;PICHINCHA;CANTON;;;;
32204;PEDRO VICENTE MALDONADO;PICHINCHA;CANTON;;;;
10912;SAN MIGUEL DE LOS BANCOS;PICHINCHA;CANTON;;;;
20103;RUMIÑAHUI;PICHINCHA;CANTON;;;;
12403;PEDRO MONCAYO;PICHINCHA;CANTON;;;;
20105;MEJIA;PICHINCHA;CANTON;;;;
10906;CAYAMBE;PICHINCHA;CANTON;;;;
20206;QUITO;PICHINCHA;CANTON;;;;
10908;OLMEDO;LOJA;CANTON;;;;
32203;QUILANGA;LOJA;CANTON;;;;
11303;PINDAL;LOJA;CANTON;;;;
31501;ZAPOTILLO;LOJA;CANTON;;;;
20301;SOZORANGA;LOJA;CANTON;;;;
20306;SARAGURO;LOJA;CANTON;;;;
11317;PUYANGO;LOJA;CANTON;;;;
11302;PALTAS;LOJA;CANTON;;;;
31601;MACARA;LOJA;CANTON;;;;
21004;GONZANAMA;LOJA;CANTON;;;;
10918;ESPINDOLA;LOJA;CANTON;;;;
11213;CHAHUARPAMBA;LOJA;CANTON;;;;
10706;CELICA;LOJA;CANTON;;;;
21104;CATAMAYO;LOJA;CANTON;;;;
31401;CALVAS;LOJA;CANTON;;;;
31403;LOJA;LOJA;CANTON;;;;
11314;SAN MIGUEL DE URCUQUI;IMBABURA;CANTON;;;;
10710;PIMAMPIRO;IMBABURA;CANTON;;;;
20607;OTAVALO;IMBABURA;CANTON;;;;
10909;COTACACHI;IMBABURA;CANTON;;;;
21103;ANTONIO ANTE;IMBABURA;CANTON;;;;
10907;IBARRA;IMBABURA;CANTON;;;;
20108;CUMANDA;CHIMBORAZO;CANTON;;;;
20609;PENIPE;CHIMBORAZO;CANTON;;;;
21809;PALLATANGA;CHIMBORAZO;CANTON;;;;
32105;GUANO;CHIMBORAZO;CANTON;;;;
21102;GUAMOTE;CHIMBORAZO;CANTON;;;;
11202;CHUNCHI;CHIMBORAZO;CANTON;;;;
20109;CHAMBO;CHIMBORAZO;CANTON;;;;
32201;COLTA;CHIMBORAZO;CANTON;;;;
21108;ALAUSI;CHIMBORAZO;CANTON;;;;
11212;RIOBAMBA;CHIMBORAZO;CANTON;;;;
10919;SIGCHOS;COTOPAXI;CANTON;;;;
32101;SAQUISILI;COTOPAXI;CANTON;;;;
10921;SALCEDO;COTOPAXI;CANTON;;;;
31404;PUJILI;COTOPAXI;CANTON;;;;
11203;PANGUA;COTOPAXI;CANTON;;;;
11322;LA MANA;COTOPAXI;CANTON;;;;
20605;LATACUNGA;COTOPAXI;CANTON;;;;
21807;SAN PEDRO DE HUACA;CARCHI;CANTON;;;;
20102;MONTUFAR;CARCHI;CANTON;;;;
31907;MIRA;CARCHI;CANTON;;;;
31906;ESPEJO;CARCHI;CANTON;;;;
21704;BOLIVAR;CARCHI;CANTON;;;;
21703;TULCAN;CARCHI;CANTON;;;;
21114;SUSCAL;CAÑAR;CANTON;;;;
21110;DELEG;CAÑAR;CANTON;;;;
20303;EL TAMBO;CAÑAR;CANTON;;;;
10902;LA TRONCAL;CAÑAR;CANTON;;;;
20203;CAÑAR;CAÑAR;CANTON;;;;
20201;BIBLIAN;CAÑAR;CANTON;;;;
10714;AZOGUES;CAÑAR;CANTON;;;;
11206;LAS NAVES;BOLIVAR;CANTON;;;;
20602;CALUMA;BOLIVAR;CANTON;;;;
20608;SAN MIGUEL;BOLIVAR;CANTON;;;;
21802;ECHEANDIA;BOLIVAR;CANTON;;;;
20302;CHIMBO;BOLIVAR;CANTON;;;;
20405;CHILLANES;BOLIVAR;CANTON;;;;
20106;GUARANDA;BOLIVAR;CANTON;;;;
11312;CAMILO PONCE ENRIQUEZ;AZUAY;CANTON;;;;
20113;GUACHAPALA;AZUAY;CANTON;;;;
31503;SEVILLA DE ORO;AZUAY;CANTON;;;;
11211;EL PAN;AZUAY;CANTON;;;;
31406;CHORDELEG;AZUAY;CANTON;;;;
31402;OÑA;AZUAY;CANTON;;;;
10806;SIGSIG;AZUAY;CANTON;;;;
21002;SANTA ISABEL;AZUAY;CANTON;;;;
31908;SAN FERNANDO;AZUAY;CANTON;;;;
20504;PUCARA;AZUAY;CANTON;;;;
21003;PAUTE;AZUAY;CANTON;;;;
11310;NABON;AZUAY;CANTON;;;;
10713;GUALACEO;AZUAY;CANTON;;;;
31410;GIRON;AZUAY;CANTON;;;;
31504;CUENCA;AZUAY;CANTON;;;;
10703;SALINAS;SANTA ELENA;CANTON;;;;
10702;LA LIBERTAD;SANTA ELENA;CANTON;;;;
42001;SANTA ELENA;SANTA ELENA;CANTON;;;;
21803;SAN VICENTE;MANABI;CANTON;;;;
11315;JARAMIJO;MANABI;CANTON;;;;
21109;JAMA;MANABI;CANTON;;;;
12401;PUERTO LOPEZ;MANABI;CANTON;;;;
10922;OLMEDO;MANABI;CANTON;;;;
32202;PEDERNALES;MANABI;CANTON;;;;
11305;24 DE MAYO;MANABI;CANTON;;;;
20104;TOSAGUA;MANABI;CANTON;;;;
10903;SUCRE;MANABI;CANTON;;;;
31407;SANTA ANA;MANABI;CANTON;;;;
20204;ROCAFUERTE;MANABI;CANTON;;;;
42003;PICHINCHA;MANABI;CANTON;;;;
31604;PAJAN;MANABI;CANTON;;;;
10704;MONTECRISTI;MANABI;CANTON;;;;
20207;MANTA;MANABI;CANTON;;;;
20114;JUNIN;MANABI;CANTON;;;;
20110;JIPIJAPA;MANABI;CANTON;;;;
31405;FLAVIO ALFARO;MANABI;CANTON;;;;
20603;EL CARMEN;MANABI;CANTON;;;;
10916;CHONE;MANABI;CANTON;;;;
21106;BOLIVAR;MANABI;CANTON;;;;
11307;PORTOVIEJO;MANABI;CANTON;;;;
20307;QUINSALOMA;LOS RIOS;CANTON;;;;
10711;MOCACHE;LOS RIOS;CANTON;;;;
10914;VALENCIA;LOS RIOS;CANTON;;;;
21107;BUENA FE;LOS RIOS;CANTON;;;;
20506;PALENQUE;LOS RIOS;CANTON;;;;
10928;VINCES;LOS RIOS;CANTON;;;;
31902;VENTANAS;LOS RIOS;CANTON;;;;
10802;URDANETA;LOS RIOS;CANTON;;;;
20305;QUEVEDO;LOS RIOS;CANTON;;;;
10803;PUEBLO VIEJO;LOS RIOS;CANTON;;;;
20402;MONTALVO;LOS RIOS;CANTON;;;;
11316;BABA;LOS RIOS;CANTON;;;;
20205;BABAHOYO;LOS RIOS;CANTON;;;;
32102;ISIDRO AYORA;GUAYAS;CANTON;;;;
11320;GENERAL ANTONIO ELIZALDE;GUAYAS;CANTON;;;;
11313;NOBOL (VICENTE PIEDRAHITA);GUAYAS;CANTON;;;;
20111;LOMAS DE SARGENTILLO;GUAYAS;CANTON;;;;
20202;CORONEL MARCELINO MARIDUEÑA;GUAYAS;CANTON;;;;
20503;SIMON BOLIVAR;GUAYAS;CANTON;;;;
32106;PLAYAS (GENERAL VILLAMIL);GUAYAS;CANTON;;;;
21115;SAN JACINTO DE YAGUACHI;GUAYAS;CANTON;;;;
31412;SALITRE;GUAYAS;CANTON;;;;
31409;SANTA LUCIA;GUAYAS;CANTON;;;;
21116;SAMBORONDON;GUAYAS;CANTON;;;;
31509;PEDRO CARBO;GUAYAS;CANTON;;;;
11318;PALESTINA;GUAYAS;CANTON;;;;
20112;NARANJITO;GUAYAS;CANTON;;;;
20604;NARANJAL;GUAYAS;CANTON;;;;
31408;MILAGRO;GUAYAS;CANTON;;;;
10705;EL TRIUNFO;GUAYAS;CANTON;;;;
21005;EL EMPALME;GUAYAS;CANTON;;;;
32107;DURAN;GUAYAS;CANTON;;;;
20610;DAULE;GUAYAS;CANTON;;;;
32103;COLIMES;GUAYAS;CANTON;;;;
10924;BALZAR;GUAYAS;CANTON;;;;
21113;BALAO;GUAYAS;CANTON;;;;
21105;ALFREDO BAQUERIZO MORENO (JUJAN);GUAYAS;CANTON;;;;
21112;GUAYAQUIL;GUAYAS;CANTON;;;;
31411;LA CONCORDIA;ESMERALDAS;CANTON;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
