Variable: color 1;Columna 1;;;Variable: color 2;Columna 1
Elemento;Descripción;;;Elemento;Descripción
Nombre de la variable;color 1;;;Nombre de la variable;color 2
Tipo de dato;Texto (string);;;Tipo de dato;Texto (string)
Dominio / Valores;Rojo, Negro, Blanco, Gris, Azul, Plateado, Verde, Amarillo, etc.;;;Dominio / Valores;Rojo, Negro, Blanco, Gris, Azul, Plateado, Verde, Amarillo, (o vacío)
Descripción;Color principal del vehículo registrado.;;;Descripción;Segundo color del vehículo si aplica (bicolor).
Observaciones;Puede haber repeticiones, errores ortográficos o variantes del mismo color.;;;Observaciones;Muchos registros pueden estar vacíos. Representa un atributo opcional.
;;;;;
;;;;;
;;;;;
Variable: persona natural-juridico;Columna 1;;;;
Elemento;Descripción;;;;
Nombre de la variable;persona natural-juridico;;;;
Tipo de dato;Texto (string);;;;
Dominio / Valores;Natural, Jurídico;;;;
Descripción;Indica si el propietario del vehículo es una persona natural o jurídica.;;;;
Observaciones;La clasificación permite segmentar por tipo de propietario.;;;;
