Diccionario de Datos del SRI ;;;;;;;;;;;;;;
Descripción:;Este diccionario agrupa y estandariza las variables y códigos utilizados en el registro de vehículos del SRI.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Código de la variable;Nombre de la variable;Definición de la variable;Tipo de variable;Formato del dato;Longitud;Valor mínimo;Valor máximo;Validación;Gestión encargada de la producción estadística;Clasificación de la información;Confidencialidad;Integridad;Disponibilidad;Riesgo
Codigo Sub Categoria;CATEGORÍA;Se refiere al código de subcategoría vehicular;Cualitativa;Numérico;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Codigo vehiculo;CÓDIGO DE VEHÍCULO;Es el código único asignado a cada registro como parte de la administración del Catastro Vehicular;Cualitativa;Numérico;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Codigo tipo transacción;TIPO TRANSACCIÓN;Es la información del tipo de transacción que puede ser importación directa o comercialización;Cualitativa;Texto;20;12;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Marca;MARCA;Es la marca del vehículo;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Modelo;MODELO;Es el modelo creado para la subcategoría;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
País;PAIS;Es el país de fabricación;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Anio modelo;AÑO MODELO;Es el año del modelo del vehículo;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Clase;CLASE;Es la clase de vehículo;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Nombre subclase;SUB CLASE;Se refiere a la sub clase del vehículo;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Tipo subclase;TIPO;Se refiere a si el vehículo es liviano o pesado;Cualitativa;Texto;7;6;7;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Valor avalúo;AVALÚO;Es la información del avalúo de la subcategoría;Cuantitativa;Numérico;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Fecha proceso;FECHA PROCESO (DD/MM/AA);Fecha en que se realizó el registro del propietario de un vehículo;Cualitativa;Numérico;8;8;8;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Código tipo servicio;TIPO SERVICIO;Es el tipo de servicio del vehículo;Cualitativa;Texto;3;3;3;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Cilindraje;CILINDRAJE;es el cilindraje del vehículo;Cualitativa;Numérico;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Código tipo combustible;TIPO COMBUSTIBLE;Es el tipo de combustible que usa un vehículo;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Fecha compra registro;FECHA COMPRA (DD/MM/AA);Fecha en que el vehículo fue adquirido;Cualitativa;Numérico;8;8;8;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Código canton;CANTON;Cantón asignado al vehículo;Cualitativa;Texto;20;1;20;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Código color crea 1;COLOR 1;Color del vehículo 1;Cualitativa;Texto;3;3;3;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Código color crea 2;COLOR 2;Color del vehículo 2;Cualitativa;Texto;3;3;3;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
Tipo identificación;PERSONA NATURAL - JURÍDICA;Tipo de persona que realizó el consumo;Cualitativa;Texto;8;7;8;No;Coordinación de Catastros;Información Pública;Baja;Alta;Media;Bajo
