Variable;Marca;Tipo;Categoria
Marca;AUDI;Marcas Premium/Lujo;Automóviles y SUVs
Marca;BENTLEY;Marcas Premium/Lujo;Automóviles y SUVs
Marca;BMW;Marcas Premium/Lujo;Automóviles y SUVs
Marca;CADILLAC;Marcas Premium/Lujo;Automóviles y SUVs
Marca;JAGUAR;Marcas Premium/Lujo;Automóviles y SUVs
Marca;LAND ROVER;Marcas Premium/Lujo;Automóviles y SUVs
Marca;LEXUS;Marcas Premium/Lujo;Automóviles y SUVs
Marca;LINCOLN;Marcas Premium/Lujo;Automóviles y SUVs
Marca;MASERATI;Marcas Premium/Lujo;Automóviles y SUVs
Marca;MCLAREN;Marcas Premium/Lujo;Automóviles y SUVs
Marca;MINI;Marcas Premium/Lujo;Automóviles y SUVs
Marca;PORSCHE;Marcas Premium/Lujo;Automóviles y SUVs
Marca;TESLA;Marcas Premium/Lujo;Automóviles y SUVs
Marca;CHEVROLET;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;CHRYSLER;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;CITROEN;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;DODGE;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;FIAT;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;FORD;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;GMC;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;JEEP;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;OPEL;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;PEUGEOT;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;RAM;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;SKODA;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;SUBARU;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;VOLKSWAGEN;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;VOLVO;Marcas Generalistas (Occidente);Automóviles y SUVs
Marca;HONDA;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;HYUNDAI;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;KIA;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;MAZDA;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;MITSUBISHI;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;NISSAN;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;SUBARU;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;SUZUKI;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;TOYOTA;Marcas Asiáticas Establecidas;Automóviles y SUVs
Marca;BAIC;Marcas Chinas;Automóviles y SUVs
Marca;BAW;Marcas Chinas;Automóviles y SUVs
Marca;BYD;Marcas Chinas;Automóviles y SUVs
Marca;CHANGAN;Marcas Chinas;Automóviles y SUVs
Marca;CHERY;Marcas Chinas;Automóviles y SUVs
Marca;DFSK;Marcas Chinas;Automóviles y SUVs
Marca;DONGFENG;Marcas Chinas;Automóviles y SUVs
Marca;FAW;Marcas Chinas;Automóviles y SUVs
Marca;FORTHING;Marcas Chinas;Automóviles y SUVs
Marca;GAC;Marcas Chinas;Automóviles y SUVs
