MODELO;DESCRIPCION;;;CLASE;DESCRIPCIÓN
K1-3300 AC 2.3 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1L, 2 puertas, tracción 4X2, combustible diésel.;;;CAMION;Vehículo de carga tipo camión.
TK CR5 GT 4V;Vehículo motocicleta, motor 5L.;;;MOTOCICLETA;Vehículo de dos ruedas tipo motocicleta.
XZU730L-WKFRL3 AC 4.0 2P 4X2 TM DIESEL;Vehículo camión o microbús, motor 730L, 2 puertas, tracción 4X2, combustible diésel.;;;ESPECIAL;Vehículo de características especiales.
XZU710L-WKFQL3 BLINDADO AC 4.0 2P 4X2 TM DIESEL;Vehículo camión o microbús, motor 710L, 2 puertas, tracción 4X2, combustible diésel.;;;OMNIBUS;Vehículo de transporte masivo (ómnibus).
HD78 BARE MICROBUS AC 3.9 2P 4X2 TM DIESEL;Vehículo camión o microbús, motor 78L, 2 puertas, tracción 4X2, combustible diésel.;;;JEEP;Vehículo todoterreno tipo jeep.
CAYENNE E-HYBRID COUPE AC 3.0 5P 4X4 TA HYBRID;Vehículo SUV, motor 3.0L, 5 puertas, tracción 4X4, sistema híbrido.;;;VOLQUETA;Vehículo de carga con tolva (volqueta).
TUCSON NX4E L AC 2.0 5P 4X2 TM;Vehículo SUV, motor 4L, 5 puertas, tracción 4X2.;;;AUTOMOVIL;Vehículo liviano tipo automóvil.
FS1ELSD-MAX AC 12.9 2P 6X4 TM DIESEL;Vehículo camión o microbús, motor 1L, 2 puertas, tracción 6X4, combustible diésel.;;;CAMIONETA;Vehículo multipropósito tipo camioneta.
125FY;Vehículo motocicleta, motor 125L.;;;TRAILER;Vehículo articulado tipo tráiler.
DUSTER AC 2.0 5P 4X2 TM;Vehículo SUV, motor 2.0L, 5 puertas, tracción 4X2.;;;TANQUERO;Vehículo de transporte líquido (tanquero).
HD78 BARE MICROBUS 3.9 2P 4X2 TM DIESEL;Vehículo camión o microbús, motor 78L, 2 puertas, tracción 4X2, combustible diésel.;;;;
GSXR600;Vehículo motocicleta, motor 600L.;;;;
CRV AC 2.4 5P 4X2 TA;Vehículo SUV, motor 2.4L, 5 puertas, tracción 4X2.;;;;
AK8JRSA CON RETARD AC 7.7 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 8L, 2 puertas, tracción 4X2, combustible diésel.;;;;
HFC1063KN FURGON REFRIGERADO AC 4.5 2P 4X2 TM DIESEL;Vehículo camión o microbús, motor 1063L, 2 puertas, tracción 4X2, combustible diésel.;;;;
TRICKSTER;Vehículo motocicleta.;;;;
CANTER FE84PE6SLNRA AC 3.9 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 84L, 84 puertas, tracción 4X2, combustible diésel.;;;;
GT 63 AMG S E PERFORMANCE AC 4.0 3P 4X4 TA HYBRID;Vehículo otro vehículo, motor 63L, 3 puertas, tracción 4X4, sistema híbrido.;;;;
