VARIABLE;SUBCLASE;DESCRIPCIÓN;;;;;
Categoria;Pataforma-C;Vehículo de carga con una estructura plana y abierta.;;;;;
Categoria;Paseo;Vehículo diseñado para transporte de personas, como sedanes o hatchbacks.;;VARIABLE;TIPO S;SIGNIFICADO;DEFINICIÓN 
Categoria;Cajon-C;Vehículo de carga con un contenedor cerrado.;;Servicio;PAR;Particular;Vehículo de uso privado o personal, no destinado a fines comerciales.
Categoria;Blindado;Vehículo modificado con materiales resistentes para proteger contra ataques.;;Servicio;ALQ;Alquiler;Vehículo en alquiler, utilizado para renta o arrendamiento.
Categoria;Bus;Vehículo de gran capacidad para transporte público o privado de pasajeros.;;;;;
Categoria;Jeep;Vehículo todoterreno con tracción en las cuatro ruedas.;;;;;
Categoria;Volqueta;Camión con caja basculante para descargar carga fácilmente.;;;;;
Categoria;Furgon-C;Vehículo de carga con un compartimento cerrado.;;;;;
Categoria;Hribrido-A;Vehículo que combina motor de combustión y motor eléctrico.;;;;;
Categoria;Recolector;Vehículo diseñado para recolectar residuos o basura.;;;;;
Categoria;Plataforma-T;Vehículo de carga con estructura diferente o especializada.;;;;;
Categoria;Cabina simple;Vehículo con espacio para solo el conductor o una cabina adicional.;;;;;
Categoria;Camion;Vehículo de gran capacidad de carga.;;;;;
Categoria;Canastilla;Vehículo con una canasta elevada para trabajos en altura.;;;;;
Categoria;Doble cabina;Vehículo con cabina para más de dos filas de asientos.;;;;;
Categoria;Furgoneta;Vehículo cerrado para carga o transporte de personas.;;;;;
Categoria;Hibrido-J;Vehículo híbrido con características o configuración distinta.;;;;;
Categoria;Cuadron;Vehículo todoterreno de cuatro ruedas, comúnmente para recreación.;;;;;
Categoria;Tricimoto;Vehículo de tres ruedas, usado para carga o transporte ligero.;;;;;
Categoria;Trail;Vehículo todoterreno diseñado para rutas difíciles.;;;;;
Categoria;Cabezal-T;Parte delantera de un camión articulado.;;;;;
Categoria;Otros;Vehículos que no encajan en las categorías anteriores.;;;;;
Categoria;Doble piso;Autobús o transporte de pasajeros con dos niveles de asientos.;;;;;
Categoria;Station wagon;Vehículo tipo familiar, similar a un sedán pero con una parte trasera más amplia y flexible para carga.;;;;;
Categoria;Convertible;Vehículo con techo que puede abrirse o cerrarse, permitiendo conducción al aire libre.;;;;;
Categoria;Camion pqueño;Vehículo de carga más pequeño, ideal para transportes ligeros o en áreas urbanas.;;;;;
Categoria;Electrico-A;Vehículo que funciona completamente con energía eléctrica, sin motor de combustión.;;;;;
Categoria;Cross;Vehículo con características todoterreno, diseñado para rutas urbanas y rurales.;;;;;
Categoria;Concretera;Camión especializado para mezclar y transportar concreto.;;;;;
Categoria;Minibus;Vehículo de tamaño reducido, generalmente para transporte de hasta 20 personas.;;;;;
Categoria;Motobomba;Vehículo equipado con bomba para extinguir incendios, utilizado por bomberos.;;;;;
Categoria;Sedan;Vehículo de pasajeros con cuatro puertas y un maletero separado.;;;;;
Categoria;Reparto;Vehículo utilizado para distribuir productos a diferentes lugares (como furgonetas o camiones pequeños).;;;;;
Categoria;Deportiva;Vehículo de alto rendimiento, diseñado para velocidad y maniobrabilidad.;;;;;
Categoria;Ambulancia;Vehículo especializado para el transporte de personas enfermas o heridas, con equipo médico.;;;;;
Categoria;Tanquero;Vehículo diseñado para transportar líquidos a granel, como combustible o agua.;;;;;
Categoria;Coupe;Vehículo de dos puertas, generalmente deportivo y con un diseño estilizado.;;;;;
Categoria;Grua;Vehículo con una grúa para levantar y trasladar objetos pesados o vehículos dañados.;;;;;
Categoria;Bus esolar;Autobús adaptado para el transporte de estudiantes.;;;;;
Categoria;Hibrido-J;Vehículo híbrido que utiliza una combinación de energía eléctrica y combustibles fósiles.;;;;;
Categoria;Wincha;"Vehículo con un sistema de poleas o ""wincha"" para levantar o remolcar carga pesada.";;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
